"설문지 
번호",응답 ID,구분,DQ1_전문과,DQ1_전문과_코딩변경,DQ1_기타내용,DQ1_1_신경과세부,DQ2_전문의취득연도,전문의 취득 나이 계산값,DQ3_직역,DQ3_기타내용,DQ3_1_전공의_연차,DQ3_2_전공의_근무총인원,DQ3_3_은퇴자_은퇴연령,DQ3_4_은퇴자_은퇴전직역,DQ4_근무기관,DQ4_근무기관 원본,DQ4_기타내용,DQ5_근무지역,DQ6_성별,DQ7_출생연도,DQ7_1_현재 나이 계산값,DQ7_2_연령대,A1_1_근무시간_평일 ,A1_2_근무시간_토요일,툐요일 근무여부,A1_3_근무시간_일요일,일요일근무여부,A2_근무시간_일주평균,A3_1_총휴무일_토요일,A3_2_총휴무일_일요일,A3_3_총휴무일_공휴일,A3_4_총휴무일_휴가,A3_5_총휴무일_출장,A3_6_총휴무일_기타,A3_7_총휴무일_기타내용,A3_8_연간 휴무일합계,A4_일반인비교업무량,A4_1_업무량감축비율,A5_워라밸주당근무시간,A6_야간당직여부,A6_1_당직응급실call횟수,A7_oncall당직여부,A7_1_1_oncall당직주기,A7_1_2_oncall당직횟수,A7_1_3_실제call수 ,A8_응급실전담의여부,A9_응급실call여부,A9_1_1_응급실평균진료시간,A9_1_2_응급call받는날,A9_1_3_응급실call수,B1_1_근무비중_진료,B1_2_근무비중_진료외,B2_1_진료비율_급여,B2_2_진료비율_비급여,B3_1_1_외래_세션당환자수,B3_1_2_외래_평균진료세션 ,B3_2_1_입원_신규환자수,B3_2_2_입원_재원환자수,B3_3_1_수술_환자수,B3_3_2_수술_일수,C1_진료시간변화여부,C1_1_증가또는감소시간,C2_환자수변화,C3_진료시간변화계획,C3_1_기타내용,C4_일반의또는타과진료정도,C5_전공과주로진료,C5_1_1_비전공과_진료비중,C5_1_2_비전공과_진료과목,,C5_1_2_비전공과_진료이유,C5_2_1_전공과회귀조건,C5_2_2_기타내용,C6_환자당진료시간변화,C7_1_실제진료시간_초진,C7_2_실제지료시간_재진,C8_1_이상적진료시간_초진,C8_2_이상적진료시간_재진,D1_현재전문의수,D2_현재전공의정원,D3_의료수요변화,D3_1_1_1_수요변화체감원인,D3_1_1_2_수요변화체감원인,D3_1_1_3_수요변화체감원인,D3_1_1_4_수요변화체감원인,D3_1_1_5_수요변화체감원인,D3_1_1_6_수요변화체감원인,D3_1_2_기타내용 ,E1_정책시행후_근무시간변화,E2_연봉변화,E3_지도전문의여부,E3_1_전공의법_근무변화,E3_2_전공의없을시_업무량,E3_3_전공의1인_역할비율,E4_당직및입원전담_근무의향,E5_은퇴예상연령,E6_육아휴직계획
1399,10861820655,온라인,3,2,,,1994,30,1,,,,,,1,1,,2,1,1964,56,7,8,4,,,,36,,52,17,7,,52,주중 하루  휴진,128,1,,32,1,,1,,,,2,1,,,,80,20,90,10,25,9,0,0,0,0,3,4,1,1,,3,1,,,,,,,2,30,10,50,15,4,3,1,,,,,,,,3,3,2,,,,2,70,2
1400,10861808581,온라인,3,2,,,2008,31,1,,,,,,1,1,,6,1,1977,43,4,7,2,,999,근무안함,23,0,52,7,7,0,0,,66,2,,24,1,,1,,,,2,1,,,,100,0,95,5,25,5,0,0,0,0,1,,1,1,,4,1,,,,,,,1,50,15,50,15,5,3,1,,,,,,,,1,3,2,,,,4,60,4
1401,10861765155,온라인,3,2,,,1998,,1,,,,,,1,1,,12,3,,,10,7,3,,999,근무안함,35,6,52,17,8,,0,,83,1,,35,1,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402,10861750219,온라인,3,2,,,2007,35,1,,,,,,6,6,,8,1,1972,48,5,9,4,,999,근무안함,52,0,40,12,2,2,0,,56,2,,52,2,6,1,,,,2,1,,,,80,20,100,0,10,7,2,50,0,0,2,10,2,1,,4,1,,,,,,,2,30,5,30,10,3,1,2,,,,,5,,,1,2,2,,,,4,75,4
1403,10861746696,온라인,3,2,,,1994,34,1,,,,,,1,1,,15,1,1960,60,8,7,4,,999,근무안함,40,0,52,17,5,7,0,,81,3,10,35,1,,1,,,,2,1,,,,100,0,98,2,35,10,0,0,0,0,1,,1,1,,3,1,,,,,,,1,20,7,30,10,4,3,2,,,3,4,,,,1,1,2,,,,4,70,4
1404,10861738304,온라인,3,2,,,2009,35,1,,,,,,1,1,,1,1,1974,46,5,6,3,,,,30,20,,,20,,,,40,1,,40,1,,1,,,,2,1,,,,70,30,40,60,3,8,0,0,0,0,2,3,2,3,,3,1,,,,,,,2,50,50,50,50,4,3,1,,,,,,,,2,1,2,,,,4,60,4
1406,10861718340,온라인,3,2,,,2015,,1,,,,,,1,1,,5,3,,,10,8,4,,999,근무안함,44,2,52,17,6,0,0,,77,1,,45,1,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1407,10861708124,온라인,3,2,,,2014,30,1,,,,,,1,1,,8,2,1984,36,3,8,4,,999,근무안함,44,10,52,17,7,,,,86,3,20,40,1,,1,,,,2,1,,,,90,10,80,20,20,11,0,0,0,0,2,15,2,1,,3,1,,,,,,,2,20,10,30,20,5,3,1,,,,,,,,1,1,1,5,,50,4,70,2
1408,10861701569,온라인,3,2,,,1989,30,1,,,,,,1,1,,1,1,1959,61,8,8,4,,999,근무안함,40,53,52,,12,0,0,,117,3,15,35,1,,1,,,,2,1,,,,100,0,97,3,25,10,0,0,0,0,3,4,1,3,,2,1,,,,,,,1,20,5,30,5,4,3,2,,,3,4,5,,,1,1,2,,,,4,70,4
1409,10861699923,온라인,3,2,,,2004,35,1,,,,,,9,2,병원 150병상,5,1,1969,51,6,9,4,,999,근무안함,50,4,50,8,2,7,,,71,3,20,35,3,2,2,1,7,2,2,1,,,,80,20,99,1,6,13,2,58,0,0,1,,1,3,,2,1,,,,,,,2,40,10,60,30,2,2,2,,,,4,5,,,1,3,2,,,,3,70,4
1413,10861669626,온라인,3,2,,,2018,37,1,,,,,,1,1,,15,1,1981,39,3,8,4,,999,근무안함,44,0,52,17,3,0,0,,72,3,10,40,1,,1,,,,2,1,,,,80,20,70,30,40,11,0,0,0,0,3,1,2,3,,2,1,,,,,,,3,15,5,20,10,4,3,1,,,,,,,,1,3,2,,,,3,65,2
1414,10861455711,온라인,3,2,,,2001,29,1,,,,,,1,1,,1,2,1972,48,5,8,3,,999,근무안함,36,26,52,17,5,0,0,,100,1,,35,1,,1,,,,2,1,,,,95,5,90,10,10,9,0,0,0,0,3,1,2,3,,3,1,,,,,,,2,40,30,60,30,4,1,2,,,,4,5,,,3,3,2,,,,4,70,1
1415,10858180631,온라인,3,2,,,2003,31,1,,,,,,1,1,,1,1,1972,48,5,9,4,,,,8,,52,17,3,,,,72,3,30,30,1,,1,,,,2,1,,,,100,0,100,0,25,9,0,0,0,0,1,,1,3,,4,1,,,,,,,1,25,8,40,15,2,1,2,,2,,,,,,1,1,2,,,,4,60,4
1416,10858162996,온라인,3,2,,,2014,30,1,,,,,,1,1,,3,1,1984,36,3,8,5,,999,근무안함,45,,52,17,0,0,0,,69,3,10,40,1,,1,,,,2,1,,,,100,0,95,5,10,11,0,0,0,0,1,,1,1,,1,1,,,,,,,1,40,15,40,20,5,3,1,,,,,,,,1,3,2,,,,4,65,4
1417,10858106550,온라인,3,2,,,2002,,1,,,,,,1,1,,8,3,,,10,8,5,,999,근무안함,40,25,0,0,5,0,0,,30,3,30,35,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1418,10857291264,온라인,3,2,,,2015,33,1,,,,,,1,1,,1,1,1982,38,3,10,5,,999,근무안함,55,0,52,17,0,0,,,69,3,20,35,1,,1,,,,2,1,,,,90,10,99,1,10,11,0,0,0,0,2,15,2,3,,3,1,,,,,,,2,30,20,50,50,5,3,1,,,,,,,,1,1,2,,,,2,70,1
1419,10857267664,온라인,3,2,,,2005,,1,,,,,,1,1,,16,3,,,10,7,4,,999,근무안함,38,12,52,17,5,6,,,92,3,15,30,1,,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
